GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
166,0.0,-0.0,-0.0,-0.0,0.0,0.0,-11.89,-6.89,0.0,-0.0,17.23,-1.73,-18.78,15.5,-3.28
169,0.0,0.0,0.0,0.0,-0.0,0.0,-9.17,3.95,-0.0,-0.0,3.34,-1.17,-5.23,2.16,-3.07
172,-0.0,0.0,0.0,-0.0,-0.0,0.0,-15.04,-7.27,0.0,-0.0,19.87,-2.18,-22.31,17.69,-4.61
175,0.0,0.0,-0.0,-0.0,-0.0,0.0,-19.37,-12.09,-0.0,0.0,23.74,-2.71,-31.45,21.04,-10.41
178,-0.0,-0.0,0.0,-0.0,0.0,0.0,-7.33,-4.99,-0.0,0.0,12.72,-1.09,-12.32,11.63,-0.69
181,0.0,0.0,-0.0,-0.0,0.0,0.0,-10.63,-0.87,0.0,0.0,8.83,-1.38,-11.5,7.45,-4.05
184,0.0,-0.0,-0.0,0.0,-0.0,0.0,-9.42,-18.3,0.0,0.0,22.69,-1.91,-27.73,20.78,-6.95
187,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-11.35,-7.13,-0.0,-0.0,14.98,-1.58,-18.49,13.4,-5.09
190,0.0,0.0,-0.0,-0.0,-0.0,0.0,-12.32,-4.82,0.0,-0.0,15.01,-1.95,-17.14,13.06,-4.08
193,0.0,0.0,0.0,0.0,0.0,0.0,-21.76,-7.76,-0.0,-0.0,18.31,-2.98,-29.52,15.33,-14.19
196,0.0,0.0,-0.0,0.0,-0.0,0.0,-20.93,-12.92,0.0,0.0,23.66,-2.7,-33.86,20.97,-12.89
199,-0.0,0.0,-0.0,0.0,0.0,0.0,-22.19,-12.82,-0.0,0.0,24.45,-2.97,-35.02,21.48,-13.54
202,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-18.71,-18.34,-0.0,-0.0,26.06,-2.48,-37.04,23.59,-13.45
205,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-9.69,-10.4,0.0,-0.0,17.61,-1.24,-20.09,16.37,-3.71
208,0.0,0.0,0.0,0.0,0.0,0.0,-16.13,-7.83,0.0,-0.0,18.8,-1.81,-23.96,16.99,-6.97
