GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
118,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
121,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.29,0.0,0.0,-0.29,0.0,0.29,-0.29,-0.0
124,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.12,-0.0,0.0,-0.12,0.0,0.12,-0.12,-0.0
127,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.16,-0.0,-0.0,-0.16,-0.0,0.16,-0.16,-0.0
130,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.1,0.0,0.0,-0.1,0.0,0.1,-0.1,-0.0
133,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.19,0.0,0.0,0.19,0.0,-0.19,0.19,-0.0
136,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.07,0.0,0.0,-0.07,0.0,0.07,-0.07,-0.0
139,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
142,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.07,0.0,0.0,-0.07,0.0,0.07,-0.07,-0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.04,0.0,0.0,-0.04,-0.0,0.04,-0.04,-0.0
148,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.37,0.0,-0.0,0.37,0.0,-0.37,0.37,-0.0
151,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.13,0.0,-0.0,0.13,-0.0,-0.13,0.13,-0.0
154,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.11,-0.0,0.0,-0.11,-0.0,0.11,-0.11,-0.0
157,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.1,0.0,0.0,-0.1,0.0,0.1,-0.1,-0.0
160,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.08,-0.0,0.0,-0.08,-0.0,0.07,-0.08,-0.0
163,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.12,0.0,0.0,0.12,0.0,-0.12,0.12,-0.0
166,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.07,0.0,-0.0,0.07,0.0,-0.07,0.07,-0.0
169,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.17,0.0,0.0,0.17,0.0,-0.17,0.17,-0.0
172,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.09,0.0,0.0,0.09,-0.0,-0.1,0.09,-0.0
